total_lots,lot_type,lots_available,carpark_number,update_datetime,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,latitude,longitude
105,C,44,HE12,2023-02-27T09:37:52,BLK 78/81 REDHILL LANE,26367.5806,30069.2434,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.2882100231321911,103.8186506240624
583,C,208,HLM,2023-02-27T09:37:40,BLK 533A HONG LIM MSCP,29354.6692,29687.508,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,11.0,1.9,N,1.2847577556273693,103.84549081920295
329,C,212,RHM,2023-02-27T09:37:52,BLK 88A REDHILL CLOSE,26359.4531,29876.1692,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,1.9,N,1.2864639274829988,103.81857760519372
97,C,21,BM29,2023-02-27T09:37:59,BLK 163 BUKIT MERAH CENTRAL,26194.9184,29563.3295,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.0,2.0,Y,1.2836347060925115,103.8170992125997
96,C,0,Q81,2023-02-27T09:37:34,BLK 43 HOLLAND DRIVE,23531.2041,32206.3235,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0.0,9.99,N,1.3075367428678997,103.79316432035691
167,C,23,C20,2023-02-27T09:37:38,BLK 449-451 CLEMENTI AVE 3,20425.9232,32848.95,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0.0,4.5,N,1.313347820827674,103.76526174661946
228,C,100,FR3M,2023-02-27T09:37:36,BLK 8A EMPRESS ROAD,24983.1434,33218.9585,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,12.0,2.15,N,1.3166948314211013,103.80621058640887
289,C,182,C32,2023-02-27T09:37:45,BLK 514-519 WEST COAST ROAD,19738.0729,32326.8057,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.3086255588800983,103.75908121333663
332,C,158,C6,2023-02-27T09:37:42,BLK 328-334 CLEMENTI AVE 2,20696.2978,32975.0306,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.3144881139131142,103.76769116550201
273,C,148,TG2,2023-02-27T09:37:36,BLK 49 TO 54 TEBAN GARDENS,17347.6784,33758.6936,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,3.8,N,1.321574296948077,103.73760190016449
543,C,333,BP1,2023-02-27T09:37:43,BLK 101/109 BUKIT PURMEI ROAD,27059.7441,28364.7207,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.2727949460019108,103.82487004638605
133,C,97,TG1,2023-02-27T09:37:44,BLK 24 & 25 TEBAN GARDENS,17351.3149,33950.9498,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,0.0,N,1.323312992864623,103.7376345093954
189,C,144,TGM2,2023-02-27T09:37:36,BLK 61 TEBAN GARDENS RD,17424.7554,33821.7982,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9.0,2.1,N,1.3221450186133503,103.73829445496823
138,C,76,TE14,2023-02-27T09:37:54,BLK 140/142 JALAN BUKIT MERAH,27503.2019,28827.5456,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0.0,4.5,N,1.2769805823717464,103.8288546648749
48,C,22,BM3,2023-02-27T09:37:33,BLK 49/50 HOY FATT ROAD,25574.8666,30013.7121,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0.0,4.5,N,1.2877077662690217,103.81152776946917
612,C,121,BM9,2018-12-17T07:42:34,BLK 58/59 LENGKOK BAHRU,25889.8506,30167.4343,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.28909799857285,103.81435801840581
155,C,0,HG44,2023-02-27T09:37:40,BLK 681-684 HOUGANG AVENUES 4/8,33899.488,39516.6851,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0.0,9.99,N,1.3736487904344832,103.88632970593206
82,C,27,HG64,2023-02-27T09:37:22,BLK 682-684 HOUGANG STREET 61,33895.9179,39593.254,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0.0,0.0,N,1.3743412526148515,103.88629764128508
326,C,154,PM27,2023-02-22T11:20:24,BLK 578A PASIR RIS STREET 53,40606.3885,39551.3513,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11.0,2.0,N,1.373960188897794,103.9465959696924
305,C,180,PM28,2023-02-27T09:37:27,BLK 586A PASIR RIS STREET 53,40736.5955,39633.1743,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N,1.3747001092714635,103.9477660061047
225,C,132,TM36,2023-02-27T09:37:26,BLK 515 TAMPINES CTRL 7,39769.2878,37693.9606,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,4.0,2.15,N,1.3571629858521386,103.93907329779347
244,C,144,TM37,2023-02-08T17:40:48,BLK 518 TAMPINES CTRL 7,39717.4254,37584.9156,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,4.0,2.15,N,1.3561768438388726,103.93860723824409
350,C,205,T50,2023-02-27T09:37:27,BLK 887-889 TAMPINES ST 81/AVENUE 3,38870.9497,36981.7596,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0.0,4.5,N,1.350722444483302,103.93100089511285
346,C,189,T51,2023-02-27T09:37:38,BLK 894-896 TAMPINES STREET 81,38948.9356,36763.5017,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0.0,0.0,N,1.348748572139392,103.93170156744114
247,C,166,TM43,2023-02-14T10:39:51,BLK 202A TAMPINES STREET 21,41234.0246,37276.5181,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.15,N,1.3533871776405688,103.95223471017103
30,C,0,T15,2023-02-22T10:54:33,BLK 201A/201C TAMPINES STREET 21,41292.6602,37256.6602,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0.0,0.0,N,1.35320756420394,103.95276157879324
109,C,0,T16,2023-02-27T09:37:32,BLK 202/205 TAMPINES STREET 21,41242.6367,37183.9531,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0.0,0.0,N,1.3525500507189219,103.95231205447516
228,C,96,T17,2023-02-27T09:37:02,BLK 201D/209/208A TAMPINES STREET 21,41349.1055,37121.3281,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0.0,4.5,N,1.3519836463649708,103.95326871485535
81,C,0,T18,2023-02-27T09:37:05,BLK 201E TAMPINES STREET 21,41423.7376,37254.2715,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0.0,0.0,N,1.3531859030595235,103.95393938972607
213,C,148,B9,2023-02-27T09:37:11,BLK 402/403 BEDOK NORTH AVENUE 3,39184.2416,34709.4842,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.3301727085826485,103.9338151792443
516,C,325,B10,2023-02-27T09:37:04,BLK 404/413 BEDOK NORTH AVENUE 3,39172.2903,34582.9441,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.3290283308949415,103.93370774409028
208,C,61,B14,2018-10-29T09:18:49,BLK 412/413 BEDOK NORTH AVENUE 2,38920.4797,34597.393,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.3291590929262382,103.93144509494549
143,C,53,WCB,2023-02-27T09:36:04,BLK 261/262/264 WATERLOO BASEMENT CAR PARK,30072.1484,31241.1484,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.0,1.9,Y,1.298808293680484,103.85193775629874
93,C,29,ACB,2023-02-27T09:36:35,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,30314.7936,31490.4942,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.0,1.8,Y,1.3010632720874935,103.85411804993093
28,C,0,CY,2023-02-27T09:36:35,BLK 269/269A/269B CHENG YAN COURT CAR PARK,30264.3593,31442.1456,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0.0,0.0,N,1.3006260281130524,103.85366487138313
408,C,207,AM46,2023-02-27T09:37:39,BLK 588 ANG MO KIO STREET 52,30234.4145,39354.0323,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,5.0,2.15,N,1.3721783233233986,103.85339638441636
194,C,132,A12,2023-02-27T09:37:32,BLK 229/230 ANG MO KIO ST 22,28596.14,38948.38,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,0.0,N,1.3685098274818934,103.83867531323688
363,C,214,BE45,2023-02-27T09:37:30,BLK 275 BISHAN ST 24,29152.4171,37599.2039,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,6.0,2.15,N,1.3563083436627195,103.8436737995863
707,C,396,BE39,2023-02-27T09:37:32,BLK 263A BISHAN STREET 22,28962.9515,37918.5499,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,10.0,1.9,N,1.3591964018143061,103.84197133762822
339,C,201,BE40,2019-06-18T10:58:35,BLK 268A BISHAN STREET 24,29037.3835,37710.0917,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,1.9,N,1.357311177642305,103.84264015136309
453,C,347,Y79M,2023-02-27T09:37:50,BLK 465 YISHUN AVENUE 6,29856.603,45358.8531,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,15.0,2.15,N,1.4264837884583979,103.85000186245749
56,C,0,CR29,2023-02-27T09:37:41,BLK 29/30 KELANTAN LANE,30612.5155,32012.4666,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.3057837826214513,103.85679325981964
